연도,지역,원본행,세부사업명,주요내용,주요내용_정제,문자유사도,검토결과,검토근거
2021,충남,7223,태안군사랑장학회 운영,지원내용 : 관내 중･고･대학생에게 장학금 지원 등,지원내용 : 관내 중·고·대학생에게 장학금 지원 등,0.909091,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,경남,9739,출산장려금 지원,지원내용 : ’17~’21년 출생아 출산장려금 지급,지원내용 : '17~'21년 출생아 출산장려금 지급,0.913043,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,부산,1015,저소득 노인세대 건강보험료 지원,저소득 세대 건강모험료 지원,저소득 세대 건강보험료 지원,0.916667,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,부산,626,직원자녀 출산시 복지포인트 지원,출산직원 출산축하 표인트 지급,출산직원 출산축하 포인트 지급,0.923077,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,경남,10167,청년 창업 수당,지원내용 : 창년의 창업 초기 자금 부담 경감을 위해 창원 활동비 지원,지원내용 : 청년의 창업 초기 자금 부담 경감을 위해 창업 활동비 지원,0.928571,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,부산,604,어린이집 공기청정기 렌탈비 지원,어린이집 공기청청기 렌탈비 지원,어린이집 공기청정기 렌탈비 지원,0.928571,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,충북,6239,교복구입비 지원,대상 : 충청북도내 중･고･특수학교의 신입생 내용 : 교복구입비 지원,대상 : 충청북도내 중·고·특수학교의 신입생 내용 : 교복구입비 지원,0.933333,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,부산,989,반여3동 노인복합복지시설 신축,정주여건 개선 및 주민과 노인 삶의 질 향행,정주여건 개선 및 주민과 노인 삶의 질 향상,0.941176,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,충남,7000,경로당 신증축 및 기능보강,지원내용 : 노후된 경로당 신증측 개보수 등,지원내용 : 노후된 경로당 신증축 개보수 등,0.944444,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,경남,10304,인구늘리기 유공 인센티브 지원,지원내용 : 인구늘리기 유공 주민 포상금 지금,지원내용 : 인구늘리기 유공 주민 포상금 지급,0.947368,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,경남,10293,권역별 공중목욕탕 운영,지원내용 : 하나행복나눔 복지회관 목용탕 운영,지원내용 : 하나행복나눔 복지회관 목욕탕 운영,0.95,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,서울,301,경로당 여가프로그램 운영 사업,어르신 여가프르그램 운영하여 경로당 기능강화,어르신 여가프로그램 운영하여 경로당 기능강화,0.95,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,경기,3627,출생축하선물 지원,지원내용 : 고양시 출산가정에 출생축사 선물 지원,지원내용 : 고양시 출산가정에 출생축하선물 지원,0.952381,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,경남,9845,예비･신혼부부 건강검진비 지원,지원내용 : 예비(신혼)부부 무료 건강검신 지원,지원내용 : 예비(신혼)부부 무료 건강검진 지원,0.952381,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,경남,9641,영유아 양육비(셋째아) 지원,지원내용 : 셋째아 60개뤙까지 매월 20만원 지급,지원내용 : 셋째아 60개월 까지 매월 20만원 지급,0.954545,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,경남,9818,응급분만 발생에 따른 이송비용 지원,지원내용 : 분만 중 발생 할 수 잇는 응급상황 시 이송비,지원내용 : 분만 중 발생할 수 있는 응급상황 시 이송비,0.954545,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,부산,751,고용상 성차별〮성희롱 피해 구제 강화,4대폭력 예방교육 및 성희롱〮성폭력 방지 조치 실시,4대폭력 예방교육 및 성희롱·성폭력 방지 조치 실시,0.954545,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,충남,6969,노인학대 예방사업 활동지원,지원내용 : 노인인권보호 및 학대예방 켐페인 및 홍보,지원내용 : 노인인권보호 및 학대예방 캠페인 및 홍보,0.954545,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,대구,1456,다문화가족 아동청소년 언어발달 지원,다문화가족자녀의 쳬계적이고 전문적인 언어발달 지원,다문화가족자녀의 체계적이고 전문적인 언어발달 지원,0.956522,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,부산,901,365맞춤어린이집 운영,365맞춤어린이집 운영으,365맞춤어린이집 운영,0.956522,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,서울,298,성인문자해득 교육 지원,문해교욱 대상자를 발굴 참여시켜 자신감 고취 방안 강구,문해교육 대상자를 발굴 참여시켜 자신감 고취 방안 강구,0.956522,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,서울,331,코로나19 대응 디지털 체험 문해교실 운영,디지털 생활 문해교욱을 운영하여 구민의 교육기회 확대,디지털 생활 문해교육을 운영하여 구민의 교육기회 확대,0.956522,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,충남,7085,노인 공익활동사업 운영,지원내용 : 관내 노인 일자리 창출 밀 노인 사회활동 확대,지원내용 : 관내 노인 일자리 창출 및 노인 사회활동 확대,0.956522,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,광주,2510,청년문화예술기획자 양성학교 운영,청년문화기획자 양성을 통해 문화에술인의 창조활동지원,청년문화기획자 양성을 통해 문화예술인의 창조활동지원,0.958333,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,경기,4678,평생학습기관 특성화 프로그램 지원,"지원대상 : 관내 비영리 법인〮단체〮시설, 학교, 연구소 등 지원내용 : 프로그램당 4,000천원 이내 차등지원","지원대상 : 관내 비영리 법인·단체·시설, 학교, 연구소 등 지원내용 : 프로그램당 4,000천원 이내 차등지원",0.959184,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,대구,1428,경로당광역지원센터운영,노인여가프로그램 발굴 및 보급 및 경로당 현항 D/B 구충 구군경로당프로그램관리자역량강화교육 및 취약분야 지원,노인여가프로그램 발굴 및 보급 및 경로당 현황 D/B 구축 구군경로당프로그램관리자 역량강화교육 및 취약분야 지원,0.959184,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,대구,1503,소년소녀가정 및 가정위탁양육 지원,"양육보조금 지원, 심성관리비, 대학입학･등록금 등 지원","양육보조금 지원, 심성관리비, 대학입학·등록금 등 지원",0.96,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,부산,883,유연근무제 도입 활성화,"일가정 양립 문화 학산을 위해 시간제 근무, 시차 출퇴근 추진","일가정 양립 문화 확산을 위해 시간제 근무, 시차 출퇴근 추진",0.96,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,서울,243,서울시 기술교육원 운영,"비진학･미취업 청년, 실업자 등 취약계층의 취업능력 제고","비진학·미취업 청년, 실업자 등 취약계층의 취업능력 제고",0.96,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,경기,3852,산모신생아 건강관리사 지원,지원내용 : 관내 출산 산모에게 산모〮신생아 건강관리사 지원,지원내용 : 관내 출산 산모에게 산모·신생아 건강관리사 지원,0.961538,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,경남,10233,다문화가족 자녀성장지원,지원내용 : 다문화가족 자녀 기초학습지도 미 사회성발달 지도 등,지원내용 : 다문화가족 자녀 기초학습지도 및 사회성발달 지도 등,0.962963,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,서울,212,민간복지 거점기관 활성화 사업,민간복지 거점기관을 활성화하여 지역내 복지자원 네크워크 구축,민간복지 거점기관을 활성화하여 지역내 복지자원 네트워크 구축,0.962963,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,인천,1893,산모신생아 건강관리 서비스 본인부담금 지원,지원대상 : 중위소득 150%이하 등 지원내용 : 산모신생아 건강관리서비스 본임부담 일부지원,지원대상 : 중위소득 150%이하 등 지원내용 : 산모신생아 건강관리서비스 본인부담금 일부지원,0.963855,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,제주,10508,저소득 노인 생활안정 지원사업,"내용 : 장수수당, 이 ･미용료 및 목욕료, 무주택 독거노인 주거비","내용 : 장수수당, 이·미용료 및 목욕료, 무주택 독거노인 주거비",0.964286,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,대구,1419,노인일자리 및 사회활동지원사업,건강한 노후생활을 영휘할 수 있도록 다양한 일자리 및 사회활동을 지원,건강한 노후생활을 영위할 수 있도록 다양한 일자리 및 사회활동을 지원,0.965517,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,부산,1237,한부모가족 신입생 입학준비금 지원,저소득 한부모가족 자녀 중 중･고교 입학생 입학준비금 10만원 지원,저소득 한부모가족 자녀 중 중·고교 입학생 입학준비금 10만원 지원,0.965517,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,울산,3271,(남구)일자리종합센터 운영,"맞춤형 원스톱 취,창업 서비스 제공",맞춤형 원스톱 취창업 서비스 제공,0.965517,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,경남,10235,한부모가족 자녀 교육활동비 지원,지원내용 : 저소득 한부모가족 초･중･고등학교 자녀 교육 활동지원비,지원내용 : 저소득 한부모가족 초･중･고등학교 자녀 교육활동비 지원,0.966667,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,대구,1451,다문화가족 사례관리 지원,다문화가족의 다양한 문제해결 및 욕구해소를 위한 사레관리 서비스제공,다문화가족의 다양한 문제해결 및 욕구해소를 위한 사례관리 서비스제공,0.966667,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,대전,2907,대전금빛평생교육봉사단 운영,"봉사활동 기관 배치, 실비 지급, 동아리 활동 지원 등 봉사단 운영･관리","봉사활동 기관 배치, 실비 지급, 동아리 활동 지원 등 봉사단 운영·관리",0.966667,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,인천,1901,부평구 열린아버지 학교 운영(부평구),아버지 소통 능력 향상 아버지역할및관계향상교육 가족관게향상교육등,아버지 소통 능력 향상 아버지역할및관계향상교육 가족관계향상교육등,0.966667,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,경남,9668,출산축하금 지급,"지원내용 : 출생아 출산축하금 지급, 첫쨰 50만원 둘째이상 200만원","지원내용 : 출생아 출산축하금 지급, 첫째 50만원 둘째이상 200만원",0.967742,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,부산,653,출산축하금 지원,"출산축하금 지원(첫쨰10만원, 둘째30만원,셋째이후 80만원)","출산축하금 지원(첫째 10만원, 둘째 30만원, 셋째 이후 80만원)",0.967742,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,강원,5300,어린이집 노후통학차량 교체지원,대상 및 내용 : 어린이집의 안전한 통확환경제공을 위한 노후 통학차량 교체 지원,대상 및 내용 : 어린이집의 안전한 통학환경제공을 위한 노후 통학차량 교체 지원,0.969697,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,부산,637,출산축하금 지원,"둘째 이후 출산 가정 출산축하금 지원(둘째 20만원, 셋쩨이후 200만원)","둘째 이후 출산 가정 출산축하금 지원(둘째 20만원, 셋째이후 200만원)",0.969697,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,인천,2156,온라인 교육 플랫폼 구축 사업(신규),지원대상 : 시군(6개소) 지원내용 : 다문화가족 ･희망계층 자녀학습 지원,지원대상 : 시군(6개소) 지원내용 : 다문화가족·희망계층 자녀학습 지원,0.969697,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,전북,7608,모유수유클리닉 운영,"내용: 유축기대여,모유수유간담회,출산전 유방관리교육 및 개 안용품제공","내용: 유축기대여,모유수유간담회,출산전 유방관리교육 및 개인용품제공",0.969697,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,경기,3764,셋째아 이상 미아방지 목걸이 지원,지원대상 : 2020년 이후 출생한 셋재 이상 자녀 지원내용 : 목걸이제작 및 발송,지원대상 : 2020년 이후 출생한 셋째 이상 자녀 지원내용 : 목걸이 제작 및 발송,0.970588,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,광주,2348,꿈과 끼를 키우는 토요학교 지원,"역사, 문화, 예술 등 친구끼리 또는 부모와 함꼐하는 토요 체험학습 프로그램 운영","역사, 문화, 예술 등 친구끼리 또는 부모와 함께 하는 토요 체험학습 프로그램 운영",0.970588,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,대전,2793,대덕구 해피데이(Happy Day) 운영,"매주 금요일을 해피데이로 지정, 정시 퇴근함으로써 가족과 문화･여가 활동 향유","매주 금요일을 해피데이로 지정, 정시 퇴근함으로써 가족과 문화·여가 활동 향유",0.970588,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,부산,1182,글로벌 통합교육 지원사업,다문화여성 한글교육 및 아동.청소년 외국어 교육 지원을 통한 글로벌 통합교육 지원,다문화여성 한글교육 및 아동·청소년 외국어 교육 지원을 통한 글로벌 통합교육 지원,0.971429,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,경기,4288,출산･입양장려금 지원,지원내용 : 관내 180일 이상 거주한 입양가정 및 출산 가정에 출산.입양장려금 지원,지원내용 : 관내 180일 이상 거주한 입양가정 및 출산 가정에 출산·입양장려금 지원,0.972222,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,경북,8742,아동복지시설 기능보강,"지원대상 : 아동양육시설, 그룹홈 등 지원내용 : 신,증, 개축, 장비보강 등 지원","지원대상 : 아동양육시설, 그룹홈 등 지원내용 : 신축, 증축, 개축, 장비보강 등 지원",0.972222,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,경북,8973,임산부의 날 기념 아카데미 운영,"지원대상 : 관내 임산부 부부 및 가족 지원내용 : 가족과함께하는태료교실,캠페인등","지원대상 : 관내 임산부 부부 및 가족 지원내용 : 가족과 함께하는 태교 교실, 캠페인 등",0.972222,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,부산,954,어르신 품위유지 수당 지원사업,만 75세 이상 동구 거주 어르신 1인 매월 1만원 연간 12만원 목욕 및 이･미용비 지원,만 75세 이상 동구 거주 어르신 1인 매월 1만원 연간 12만원 목욕 및 이·미용비 지원,0.972222,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,울산,3020,고위험 임산부 의료비 지원,지원대상 및 내용 : 고위험 임산질환자의 의료비 지원을 통한 사노뫄 아기건강관리 도모,지원대상 및 내용 : 고위험 임산질환자의 의료비 지원을 통한 사노와 아기건강관리 도모,0.972222,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,울산,3239,(남구)옥현어린이도서관 운영,"지원대상 : 영유야, 어린이, 청소년 지원내용 : 다양한문화행사, 어린이독서 캠프 등","지원대상 : 영유아, 어린이, 청소년 지원내용 : 다양한문화행사, 어린이독서 캠프 등",0.972973,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,충남,6824,다자녀 입학 축하금 지원,지원내용 : 관내 주민등록 둔 다자녀 셋째이상 자녀에게 1인당 10만원 입학축하금 지금,지원내용 : 관내 주민등록 둔 다자녀 셋째이상 자녀에게 1인당 10만원 입학축하금 지급,0.972973,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,부산,531,동네방네 나눔육아사업,지원대상 : 6개구 영유아가정(570여가정) 지원내용 : 찾아가는 장난감. 도서대여,"지원대상 : 6개구 영유아가정(570여가정) 지원내용 : 찾아가는 장난감, 도서대여",0.973684,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,인천,2064,재가노인복지시설 지원 및 관리(등외자),"지원대상 : 재가노인복지지설이용 등급외자 지원내용 : 일상생활지원, 가사간병 서비스 등","지원대상 : 재가노인복지시설이용 등급외자 지원내용 : 일상생활지원, 가사간병 서비스 등",0.974359,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,경남,10093,고령자 교육기반 확충,"지원대상 : 복지관 1개소, 노인대학 26개소 지원내용 : 운영비･강사료 및 각종사업비 지원","지원대상 : 복지관 1개소, 노인대학 26개소 지원내용 : 운영비·강사료 및 각종사업비 지원",0.975,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,대전,2918,저출산 인식개선 교육 및 홍보,"주민들에게 인구문제의 심각성을 알리고 결혼, 출산에 대한 긍정적인 가치관을 심어주가 위함.","주민들에게 인구문제의 심각성을 알리고 결혼, 출산에 대한 긍정적인 가치관을 심어주기 위함.",0.975,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,전북,7509,엄마愛(애) 간식 지원사업,내용: 가정양육수당(어린이집 미이용) 대상인 영유아에게 매 월 1만원씩 바우처 포안트 지원,내용: 가정양육수당(어린이집 미이용) 대상인 영유아에게 매 월 1만원씩 바우처 포인트 지원,0.975,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,전남,8504,노인효도권 지원,지원대상 : 약13.000명(65세이상 노인) 지원내용 : 효도권(목욕및이미용권)지원,"지원대상 : 약13,000명(65세이상 노인) 지원내용 : 효도권(목욕및이미용권)지원",0.97561,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,강원,5267,어린이집 통학차량 등 하원 안전지원사업,대상 및 내용 : 어린이집의 안전한 통확환경 제공을 위한 통학차량 동승자 인건비 지원(1일 2시간),대상 및 내용 : 어린이집의 안전한 통학환경 제공을 위한 통학차량 동승자 인건비 지원(1일 2시간),0.97619,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,경남,9833,난임부부 검사비 지원,"지원내용 : 한부부당 20만원 이내(단, 1회 검사비에 한함) 난임 원인검사 본임부담 의료비 지원","지원내용 : 한부부당 20만원 이내(단, 1회 검사비에 한함) 난임 원인검사 본인부담 의료비 지원",0.97619,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,인천,2112,개방형 경로당 사업,"지원대상 : 10개소(군˙구별 1개소) 지원내용 : 테마가 있는 경로당 환경개선비, 물품구입비 등 지원","지원대상 : 10개소(군·구별 1개소) 지원내용 : 테마가 있는 경로당 환경개선비, 물품구입비 등 지원",0.977778,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,전남,8360,출생아 건강보험료 지원,지원대상 : 진도군에 거주하는 출산가정의 출생아 지원내용 : 출상아 건강보험지원(5년납입 10년 보장),지원대상 : 진도군에 거주하는 출산가정의 출생아 지원내용 : 출생아 건강보험지원(5년납입 10년 보장),0.978261,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,경남,9923,시니어 은빛 도서관 운영,"지원대상 : 만60세 이상 시민 지원내용 : 시니어특화도서구입,추천도서 전시, 맟춤형 체험프로그램 운영 등","지원대상 : 만60세 이상 시민 지원내용 : 시니어특화도서구입,추천도서 전시, 맞춤형 체험프로그램 운영 등",0.978723,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,충남,7151,청년창업 아카데미 운영,"지원대상 : 예비 청년사업가(20팀 내외) 지원내용 : 사회적 경제진입, 창업실무교욱 및 맞춤형 컨설팅제공","지원대상 : 예비 청년사업가(20팀 내외) 지원내용 : 사회적 경제진입, 창업실무교육 및 맞춤형 컨설팅제공",0.978723,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,경기,4295,과천 어린이 축제,지원내용 : 행사 및 다양한 프로그램을 통한 놀이와 체험으로 아이들과 가족들이 함게하는 참여형 어린이날 축제 개최,지원내용 : 행사 및 다양한 프로그램을 통한 놀이와 체험으로 아이들과 가족들이 함께 하는 참여형 어린이날 축제 개최,0.979167,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,경기,4365,노인학대예방 업무 추진,지원내용 : 노인학대예방의 날 행사 추진 - 대상 : 어르신 등 부천시민 - 내용 : 노인학대에방 포스터 및 수기 등 공모,지원내용 : 노인학대예방의 날 행사 추진 - 대상 : 어르신 등 부천시민 - 내용 : 노인학대예방 포스터 및 수기 등 공모,0.979167,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,전북,7839,대학생 행정연수,지원대상 : 관내1년이상 주민등록이 되어있는 대학재학생 및 휴학생 지원내용 : 방학기간을 활용한 행정체혐 연수,지원대상 : 관내 1년이상 주민등록이 되어있는 대학재학생 및 휴학생 지원내용 : 방학기간을 활용한 행정체험 연수,0.979167,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,경남,10127,청년친화도시 조성 지원,지원내용 : 청년의 다양한 황동 인프라를 조성하고 지역 실정에 맞는 청년 친화적 서비스 제공을 위한 청년친화도시 조성,지원내용 : 청년의 다양한 활동 인프라를 조성하고 지역 실정에 맞는 청년 친화적 서비스 제공을 위한 청년친화도시 조성,0.979592,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,전북,7346,학교 밖 청소년 지원,"내용: 학교 밖 청소년 상담, 교육, 직업체험 및, 자립 지원","내용: 학교 밖 청소년 상담, 교육, 직업체험 및 자립 지원",0.979592,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,대전,2832,경로당 쌀지원,대전시 관내 경로당 831개소 대상(1개소당 8포지원) ),대전시 관내 경로당 831개소 대상(1개소당 8포지원),0.980392,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,전북,7818,공공기관 대학생 잡 멘토링,"내용: 공기관 및 기업 현직자 취업노하우 공유, 기관탐방 등","내용: 공공기관 및 기업 현직자 취업노하우 공유, 기관탐방 등",0.980392,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
