지역,대분류,중분류,원본_소계값,leaf_합계,차이,오차율(%),QA_병합상태,결과,허용기준결과,절대차이,원인분류
경북,Ⅱ. 지자체 자체사업,"2. 건강하고 능동적인
고령사회 구축(자체)",71660.9,68091.3,-3569.5999999999913,-4.98,양쪽존재,불일치,허용,3569.5999999999913,허용범위 내 차이
광주,Ⅰ. 공통사업,"1. 함께 일하고 함께 돌보는
사회(공통)",129985.0,129985.0,0.0,0.0,양쪽존재,일치,허용,0.0,일치
광주,Ⅰ. 공통사업,"2. 건강하고 능동적인
고령사회(공통)",493606.0,493606.0,0.0,0.0,양쪽존재,일치,허용,0.0,일치
광주,Ⅰ. 공통사업,3. 모두의 역량이 고루 발휘되는 사회(공통),21243.0,21243.0,0.0,0.0,양쪽존재,일치,허용,0.0,일치
광주,Ⅰ. 공통사업,"4.인구구조 변화에 대한
적응(공통)",335.0,335.0,0.0,0.0,양쪽존재,일치,허용,0.0,일치
광주,Ⅱ. 지자체 자체사업,"1. 함께 일하고 함께 돌보는
사회(자체)",78130.5,78130.5,0.0,0.0,양쪽존재,일치,허용,0.0,일치
광주,Ⅱ. 지자체 자체사업,2. 건강하고 능동적인 고령사회 구축(자체),79054.6,79054.6,0.0,0.0,양쪽존재,일치,허용,0.0,일치
광주,Ⅱ. 지자체 자체사업,"3. 모두의 역량이 고루
발휘되는 사회(자체)",22297.8,22297.8,0.0,0.0,양쪽존재,일치,허용,0.0,일치
광주,Ⅱ. 지자체 자체사업,"4.인구구조 변화에 대한
적응(자체)",89.8,89.8,0.0,0.0,양쪽존재,일치,허용,0.0,일치
대구,Ⅰ. 공통사업,"1. 함께 일하고 함께 돌보는
사회(공통)",580804.0,580804.0,0.0,0.0,양쪽존재,일치,허용,0.0,일치
대구,Ⅰ. 공통사업,2. 건강하고 능동적인 고령사회(공통),1072129.0,1072129.0,0.0,0.0,양쪽존재,일치,허용,0.0,일치
대구,Ⅰ. 공통사업,3. 모두의 역량이 고루 발휘되는 사회(공통),5226.0,5226.0,0.0,0.0,양쪽존재,일치,허용,0.0,일치
대구,Ⅰ. 공통사업,4. 인구구조 변화에 대한 적응(공통),20341.0,20341.0,0.0,0.0,양쪽존재,일치,허용,0.0,일치
대구,Ⅱ. 지자체 자체사업,1. 함께 일하고 함께 돌보는 사회(자체),318557.0,318557.0,0.0,0.0,양쪽존재,일치,허용,0.0,일치
대구,Ⅱ. 지자체 자체사업,2. 건강하고 능동적인 고령사회 구축(자체),145235.0,145235.0,0.0,0.0,양쪽존재,일치,허용,0.0,일치
대구,Ⅱ. 지자체 자체사업,"3. 모두의 역량이 고루
발휘되는 사회(자체)",20698.0,20698.0,0.0,0.0,양쪽존재,일치,허용,0.0,일치
대구,Ⅱ. 지자체 자체사업,"4.인구구조 변화에 대한
적응(자체)",1125.0,1125.0,0.0,0.0,양쪽존재,일치,허용,0.0,일치
대전,Ⅰ. 공통사업,"1. 함께 일하고 함께 돌보는
사회(공통)",579082.0,579082.0,0.0,0.0,양쪽존재,일치,허용,0.0,일치
대전,Ⅰ. 공통사업,"2. 건강하고 능동적인
고령사회(공통)",553877.0,553877.0,0.0,0.0,양쪽존재,일치,허용,0.0,일치
대전,Ⅰ. 공통사업,3. 모두의 역량이 고루 발휘되는 사회(공통),11513.0,11513.0,0.0,0.0,양쪽존재,일치,허용,0.0,일치
대전,Ⅰ. 공통사업,"4.인구구조 변화에 대한
적응(공통)",28979.0,28980.0,1.0,0.0,양쪽존재,불일치,허용,1.0,허용범위 내 차이
대전,Ⅱ. 지자체 자체사업,"1. 함께 일하고 함께 돌보는
사회(자체)",70390.0,70394.0,4.0,0.01,양쪽존재,불일치,허용,4.0,허용범위 내 차이
대전,Ⅱ. 지자체 자체사업,2. 건강하고 능동적인 고령사회 구축(자체),17200.0,17200.0,0.0,0.0,양쪽존재,일치,허용,0.0,일치
대전,Ⅱ. 지자체 자체사업,3. 모두의 역량이 고루 발휘되는 사회(자체),71113.0,71114.0,1.0,0.0,양쪽존재,불일치,허용,1.0,허용범위 내 차이
대전,Ⅱ. 지자체 자체사업,"4.인구구조 변화에 대한
적응(자체)",5834.0,5835.0,1.0,0.02,양쪽존재,불일치,허용,1.0,허용범위 내 차이
부산,Ⅰ. 공통사업,"1. 함께 일하고 함께 돌보는
사회(공통)",1621011.0,1621011.0,0.0,0.0,양쪽존재,일치,허용,0.0,일치
부산,Ⅰ. 공통사업,2. 건강하고 능동적인 고령사회(공통),1597265.0,1597265.0,0.0,0.0,양쪽존재,일치,허용,0.0,일치
부산,Ⅰ. 공통사업,"3. 모두의 역량이 고루
발휘되는 사회(공통)",150000.0,150000.0,0.0,0.0,양쪽존재,일치,허용,0.0,일치
부산,Ⅰ. 공통사업,"4.인구구조 변화에 대한
적응(공통)",16594.0,16594.0,0.0,0.0,양쪽존재,일치,허용,0.0,일치
부산,Ⅱ. 지자체 자체사업,"1. 함께 일하고 함께 돌보는
사회(자체)",118342.0,118341.5,-0.5,-0.0,양쪽존재,불일치,허용,0.5,허용범위 내 차이
부산,Ⅱ. 지자체 자체사업,"2. 건강하고 능동적인
고령사회 구축(자체)",175410.5,175410.5,0.0,0.0,양쪽존재,일치,허용,0.0,일치
부산,Ⅱ. 지자체 자체사업,"3. 모두의 역량이 고루
발휘되는 사회(자체)",245477.3,245477.3,0.0,0.0,양쪽존재,일치,허용,0.0,일치
부산,Ⅱ. 지자체 자체사업,4.인구구조 변화에 대한 적응(자체),20722.8,20722.8,0.0,0.0,양쪽존재,일치,허용,0.0,일치
서울,Ⅰ. 공통사업,"1. 함께 일하고 함께 돌보는
사회(공통)",3178366.0,3178366.0,0.0,0.0,양쪽존재,일치,허용,0.0,일치
서울,Ⅰ. 공통사업,"2. 건강하고 능동적인
고령사회(공통)",3455119.0,3455119.0,0.0,0.0,양쪽존재,일치,허용,0.0,일치
서울,Ⅰ. 공통사업,3. 모두의 역량이 고루 발휘되는 사회(공통),233636.0,233636.0,0.0,0.0,양쪽존재,일치,허용,0.0,일치
서울,Ⅰ. 공통사업,"4.인구구조 변화에 대한
적응(공통)",54508.0,54508.0,0.0,0.0,양쪽존재,일치,허용,0.0,일치
서울,Ⅱ. 지자체 자체사업,1. 함께 일하고 함께 돌보는 사회(자체),257429.0,257429.0,0.0,0.0,양쪽존재,일치,허용,0.0,일치
서울,Ⅱ. 지자체 자체사업,"2. 건강하고 능동적인
고령사회 구축(자체)",169880.0,169881.0,1.0,0.0,양쪽존재,불일치,허용,1.0,허용범위 내 차이
서울,Ⅱ. 지자체 자체사업,"3. 모두의 역량이 고루
발휘되는 사회(자체)",171097.0,171097.0,0.0,0.0,양쪽존재,일치,허용,0.0,일치
서울,Ⅱ. 지자체 자체사업,"4.인구구조 변화에 대한
적응(자체)",9056.0,9056.0,0.0,0.0,양쪽존재,일치,허용,0.0,일치
세종,Ⅰ. 공통사업,"1. 함께 일하고 함께 돌보는
사회(공통)",51369.0,51368.0,-1.0,-0.0,양쪽존재,불일치,허용,1.0,허용범위 내 차이
세종,Ⅰ. 공통사업,2. 건강하고 능동적인 고령사회(공통),66827.0,66827.0,0.0,0.0,양쪽존재,일치,허용,0.0,일치
세종,Ⅰ. 공통사업,"3. 모두의 역량이 고루
발휘되는 사회(공통)",653.0,653.0,0.0,0.0,양쪽존재,일치,허용,0.0,일치
세종,Ⅰ. 공통사업,4.인구구조 변화에 대한 적응(공통),369.0,369.0,0.0,0.0,양쪽존재,일치,허용,0.0,일치
세종,Ⅱ. 지자체 자체사업,"1. 함께 일하고 함께 돌보는
사회(자체)",17428.0,17428.0,0.0,0.0,양쪽존재,일치,허용,0.0,일치
세종,Ⅱ. 지자체 자체사업,2. 건강하고 능동적인 고령사회 구축(자체),3589.0,3589.0,0.0,0.0,양쪽존재,일치,허용,0.0,일치
세종,Ⅱ. 지자체 자체사업,"3. 모두의 역량이 고루
발휘되는 사회(자체)",35173.0,35173.0,0.0,0.0,양쪽존재,일치,허용,0.0,일치
세종,Ⅱ. 지자체 자체사업,4.인구구조 변화에 대한 적응(자체),59.0,59.0,0.0,0.0,양쪽존재,일치,허용,0.0,일치
울산,Ⅰ. 공통사업,"1. 함께 일하고 함께 돌보는
사회(공통)",521577.0,521577.0,0.0,0.0,양쪽존재,일치,허용,0.0,일치
울산,Ⅰ. 공통사업,"2. 건강하고 능동적인
고령사회(공통)",367892.0,367892.0,0.0,0.0,양쪽존재,일치,허용,0.0,일치
울산,Ⅰ. 공통사업,"3. 모두의 역량이 고루
발휘되는 사회(공통)",1037.0,1037.0,0.0,0.0,양쪽존재,일치,허용,0.0,일치
울산,Ⅰ. 공통사업,"4.인구구조 변화에 대한
적응(공통)",15833.0,15833.0,0.0,0.0,양쪽존재,일치,허용,0.0,일치
울산,Ⅱ. 지자체 자체사업,"1. 함께 일하고 함께 돌보는
사회(자체)",34404.0,34404.0,0.0,0.0,양쪽존재,일치,허용,0.0,일치
울산,Ⅱ. 지자체 자체사업,"2. 건강하고 능동적인
고령사회 구축(자체)",18058.0,18058.0,0.0,0.0,양쪽존재,일치,허용,0.0,일치
울산,Ⅱ. 지자체 자체사업,"3. 모두의 역량이 고루
발휘되는 사회(자체)",18766.0,18766.0,0.0,0.0,양쪽존재,일치,허용,0.0,일치
울산,Ⅱ. 지자체 자체사업,"4.인구구조 변화에 대한
적응(자체)",277.0,277.0,0.0,0.0,양쪽존재,일치,허용,0.0,일치
인천,Ⅰ. 공통사업,"1. 함께 일하고 함께 돌보는
사회(공통)",985149.0,985149.0,0.0,0.0,양쪽존재,일치,허용,0.0,일치
인천,Ⅰ. 공통사업,"2. 건강하고 능동적인
고령사회(공통)",1171010.0,1171010.0,0.0,0.0,양쪽존재,일치,허용,0.0,일치
인천,Ⅰ. 공통사업,"3. 모두의 역량이 고루
발휘되는 사회(공통)",550438.0,550438.0,0.0,0.0,양쪽존재,일치,허용,0.0,일치
인천,Ⅰ. 공통사업,4.인구구조 변화에 대한 적응(공통),33635.0,33635.0,0.0,0.0,양쪽존재,일치,허용,0.0,일치
인천,Ⅱ. 지자체 자체사업,1. 함께 일하고 함께 돌보는 사회(자체),112070.0,112070.0,0.0,0.0,양쪽존재,일치,허용,0.0,일치
인천,Ⅱ. 지자체 자체사업,2. 건강하고 능동적인 고령사회 구축(자체),199501.8,199525.3,23.5,0.01,양쪽존재,불일치,허용,23.5,허용범위 내 차이
인천,Ⅱ. 지자체 자체사업,"3. 모두의 역량이 고루
발휘되는 사회(자체)",250902.0,250972.9,70.89999999999418,0.03,양쪽존재,불일치,허용,70.89999999999418,허용범위 내 차이
인천,Ⅱ. 지자체 자체사업,"4.인구구조 변화에 대한
적응(자체)",2718.0,2718.0,0.0,0.0,양쪽존재,일치,허용,0.0,일치
전남,Ⅰ. 공통사업,"1. 함께 일하고 함께
돌보는 사회(공통)",59592.0,59592.0,0.0,0.0,양쪽존재,일치,허용,0.0,일치
전남,Ⅰ. 공통사업,"2. 건강하고 능동적인
고령사회(공통)",1538116.0,1538116.0,0.0,0.0,양쪽존재,일치,허용,0.0,일치
전남,Ⅰ. 공통사업,"3. 모두의 역량이 고루
발휘되는 사회(공통)",3649.0,3649.0,0.0,0.0,양쪽존재,일치,허용,0.0,일치
전남,Ⅰ. 공통사업,"4. 인구구조 변화에 대한
적응(공통)",28629.0,28629.0,0.0,0.0,양쪽존재,일치,허용,0.0,일치
전남,Ⅱ. 지자체 자체사업,"1. 함께 일하고 함께
돌보는 사회(자체)",83051.72,83051.72,0.0,0.0,양쪽존재,일치,허용,0.0,일치
전남,Ⅱ. 지자체 자체사업,"2. 건강하고 능동적인
고령사회 구축(자체)",171980.9,171980.9,0.0,0.0,양쪽존재,일치,허용,0.0,일치
전남,Ⅱ. 지자체 자체사업,"3. 모두의 역량이 고루
발휘되는 사회(자체)",67604.0,67604.0,0.0,0.0,양쪽존재,일치,허용,0.0,일치
전남,Ⅱ. 지자체 자체사업,4. 인구구조 변화에 대한 적응(자체),13769.8,13769.8,0.0,0.0,양쪽존재,일치,허용,0.0,일치
전북,Ⅰ. 공통사업,"1. 함께 일하고 함께
돌보는 사회(공통)",419427.0,419427.0,0.0,0.0,양쪽존재,일치,허용,0.0,일치
전북,Ⅰ. 공통사업,2. 건강하고 능동적인 고령사회(공통),1286153.0,1286153.0,0.0,0.0,양쪽존재,일치,허용,0.0,일치
전북,Ⅰ. 공통사업,"3. 모두의 역량이 고루
발휘되는 사회(공통)",20306.0,20306.0,0.0,0.0,양쪽존재,일치,허용,0.0,일치
전북,Ⅰ. 공통사업,4. 인구구조 변화에 대한 적응(공통),80834.0,80834.0,0.0,0.0,양쪽존재,일치,허용,0.0,일치
전북,Ⅱ. 지자체 자체사업,"1. 함께 일하고 함께
돌보는 사회(자체)",130276.5,130276.5,0.0,0.0,양쪽존재,일치,허용,0.0,일치
전북,Ⅱ. 지자체 자체사업,"2. 건강하고 능동적인
고령사회 구축(자체)",192416.7,192416.749,0.04899999999906868,0.0,양쪽존재,불일치,허용,0.04899999999906868,허용범위 내 차이
전북,Ⅱ. 지자체 자체사업,3. 모두의 역량이 고루 발휘되는 사회(자체),58136.9,58136.9,0.0,0.0,양쪽존재,일치,허용,0.0,일치
전북,Ⅱ. 지자체 자체사업,4. 인구구조 변화에 대한 적응(자체),12488.85,12488.85,0.0,0.0,양쪽존재,일치,허용,0.0,일치
제주,Ⅰ. 공통사업,"1. 함께 일하고 함께
돌보는 사회(공통)",252461.0,252461.0,0.0,0.0,양쪽존재,일치,허용,0.0,일치
제주,Ⅰ. 공통사업,"2. 건강하고 능동적인
고령사회(공통)",251256.0,251256.0,0.0,0.0,양쪽존재,일치,허용,0.0,일치
제주,Ⅰ. 공통사업,"3. 모두의 역량이 고루
발휘되는 사회(공통)",25138.0,25138.0,0.0,0.0,양쪽존재,일치,허용,0.0,일치
제주,Ⅰ. 공통사업,"4.인구구조 변화에 대한
적응(공통)",1810.0,1810.0,0.0,0.0,양쪽존재,일치,허용,0.0,일치
제주,Ⅱ. 지자체 자체사업,"1. 함께 일하고 함께
돌보는 사회(자체)",46003.0,46003.0,0.0,0.0,양쪽존재,일치,허용,0.0,일치
제주,Ⅱ. 지자체 자체사업,"2. 건강하고 능동적인
고령사회 구축(자체)",57564.0,57564.0,0.0,0.0,양쪽존재,일치,허용,0.0,일치
제주,Ⅱ. 지자체 자체사업,3. 모두의 역량이 고루 발휘되는 사회(자체),70222.0,70222.0,0.0,0.0,양쪽존재,일치,허용,0.0,일치
제주,Ⅱ. 지자체 자체사업,"4.인구구조 변화에 대한
적응(자체)",60.0,60.0,0.0,0.0,양쪽존재,일치,허용,0.0,일치
충남,Ⅰ. 공통사업,"1. 함께 일하고 함께 돌보는
사회(공통)",481891.0,481891.0,0.0,0.0,양쪽존재,일치,허용,0.0,일치
충남,Ⅰ. 공통사업,2. 건강하고 능동적인 고령사회 구축(공통),406652.0,406652.0,0.0,0.0,양쪽존재,일치,허용,0.0,일치
충남,Ⅰ. 공통사업,"3. 모두의 역량이 고루
발휘되는 사회(공통)",22138.0,22138.0,0.0,0.0,양쪽존재,일치,허용,0.0,일치
충남,Ⅰ. 공통사업,"4. 인구구조 변화에 대한
적응(공통)",6511.0,6511.0,0.0,0.0,양쪽존재,일치,허용,0.0,일치
충남,Ⅱ. 지자체 자체사업,"1. 함께 일하고 함께 돌보는
사회(자체)",173210.0,173212.0,2.0,0.0,양쪽존재,불일치,허용,2.0,허용범위 내 차이
충남,Ⅱ. 지자체 자체사업,"2. 건강하고 능동적인
고령사회 구축(자체)",47623.0,47624.0,1.0,0.0,양쪽존재,불일치,허용,1.0,허용범위 내 차이
충남,Ⅱ. 지자체 자체사업,3. 모두의 역량이 고루 발휘되는 사회(자체),113749.0,113750.0,1.0,0.0,양쪽존재,불일치,허용,1.0,허용범위 내 차이
충남,Ⅱ. 지자체 자체사업,"4. 인구구조 변화에 대한
적응(자체)",1256.0,1256.0,0.0,0.0,양쪽존재,일치,허용,0.0,일치
충북,Ⅰ. 공통사업,"1. 함께 일하고 함께 돌보는
사회(공통)",485675.0,485675.0,0.0,0.0,양쪽존재,일치,허용,0.0,일치
충북,Ⅰ. 공통사업,"2. 건강하고 능동적인
고령사회(공통)",836835.0,836835.0,0.0,0.0,양쪽존재,일치,허용,0.0,일치
충북,Ⅰ. 공통사업,"3. 모두의 역량이 고루
발휘되는 사회(공통)",104388.0,104388.0,0.0,0.0,양쪽존재,일치,허용,0.0,일치
충북,Ⅰ. 공통사업,"4. 인구구조 변화에 대한
적응(공통)",87485.0,87485.0,0.0,0.0,양쪽존재,일치,허용,0.0,일치
충북,Ⅱ. 지자체 자체사업,"1. 함께 일하고 함께 돌보는
사회(자체)",131869.1,131869.06,-0.04000000000814907,-0.0,양쪽존재,불일치,허용,0.04000000000814907,허용범위 내 차이
충북,Ⅱ. 지자체 자체사업,"2. 건강하고 능동적인
고령사회 구축(자체)",80910.9,80910.9,0.0,0.0,양쪽존재,일치,허용,0.0,일치
충북,Ⅱ. 지자체 자체사업,"3. 모두의 역량이 고루
발휘되는 사회(자체)",129817.7,129355.68,-462.0200000000041,-0.36,양쪽존재,불일치,허용,462.0200000000041,허용범위 내 차이
