연도,지역,원본행,세부사업명,주요내용,주요내용_정제,자동검출사유,길이비,숫자보존,수량보존,사람검토결과,조치내용
2023,충북,5417,청년 귀농인 정착지원,,청년귀농인 정착지원,결측 원문 변경,,True,True,,
2023,충북,5426,전입장려금,,전입장려금,결측 원문 변경,,True,True,,
2023,충북,5430,함께하는 溫(온)가족 축제,함께하는 溫(온)가족 축제 지원,함께하는 溫(온)가가족 축제 지원,고유명사 불일치,1.0714,True,True,,
2023,충남,5691,캠퍼스 타운 조성,,캠퍼스 타운 조성,결측 원문 변경,,True,True,,
2023,충남,5928,난임부부 시술비 확대 지원,기준중위소득%180 이상 난임부부 시술비 지원,기준중위소득 180% 이상 난임부부 시술비 지원,금액·퍼센트·범위 불일치,1.0,True,False,,
2023,전북,6375,365일 24시간 시간제 보육 운영,365알 24시간 연중무휴 시간제 보육운영으로 야간 및 휴일등 보육서비스 제공,365일 24시간 연중무휴 시간제 보육운영으로 야간 및 휴일등 보육서비스 제공,금액·퍼센트·범위 불일치,1.0,True,False,,
2023,전남,6683,공공산후조리원 지원사업,,공공산후조리원 지원사업,결측 원문 변경,,True,True,,
2023,전남,6684,산모신생아 건강관리지원사업,,산모신생아 건강관리지원사업,결측 원문 변경,,True,True,,
2023,전남,6685,산모신생아 건강관리 본인부담금 추가지원,,산모신생아 건강관리 본인부담금 추가지원,결측 원문 변경,,True,True,,
2023,전남,6686,출산가정 방문 산후조리 서비스 확대지원,,출산가정 방문 산후조리 서비스 확대지원,결측 원문 변경,,True,True,,
2023,전남,6687,저소득층 기저귀 조제분유 지원,,저소득층 기저귀 조제분유 지원,결측 원문 변경,,True,True,,
2023,전남,6688,신생아 양육비 지원,,신생아 양육비 지원,결측 원문 변경,,True,True,,
2023,전남,6689,첫만남이용권 지원사업,,첫만남이용권 지원사업,결측 원문 변경,,True,True,,
2023,전남,6690,다둥이가정 육아용품 구입비 지원사업,,다둥이가정 육아용품 구입비 지원사업,결측 원문 변경,,True,True,,
2023,전남,6693,한방난임치료 지원사업,,한방난임치료 지원사업,결측 원문 변경,,True,True,,
2023,전남,6697,모자보건사업(보조),,"세부사업명(참고용): 모자보건사업(보조)
원문:
",결측 원문 변경,,True,True,,
2023,전남,6854,나주형 신혼부부 · 다자녀가정 보금자리 지원사업,사업대상 : 나주시 신혼부부 또는 다자녀가정 사업내용 : 주택구입 대출이자 지원(월 최대 5만원 × 36개월) 전라남도 「신혼부부 다자녀가정 보금 자리 지원사업」선정자와 연계하여 월 5만원 추가 지원 ※ 전남형 최대 15만원 + 나주형 최대 5만원,사업대상 : 나주시 신혼부부 또는 다자녀가정 사업내용 : 주택구입 대출이자 지원(월 최대 5만원 × 36개월) 전라남도 「신혼부부 다자녀가정 보금자리 지원사업」선정자와 연계하여 월 5만원 추가 지원 ※ 전남형 최대 15만원 + 나주형 최대 5만원,고유명사 불일치,1.0,True,True,,
2023,전남,6982,임부 산전검진(초음파 등) 검진비 지원,임부 산전 검진쿠폰 제공,임부 산전검진(초음파 등) 검진비 지원,극단적 길이비,1.7,True,True,,
2023,전남,7240,청년희망 아카데미,,청년희망 아카데미,결측 원문 변경,,True,True,,
2023,전남,7288,중고등학교 신입생 교복구입 지원,"관내 중, 교등학교 신입생 대상 교복구입비 지원",관내 중·고등학교 신입생 대상 교복구입비 지원,고유명사 불일치,1.0,True,True,,
2023,경북,7546,학교밖위기청소년 맞춤형 자립지원,"학교 밖 청소년 검정고시, 기술훈련 지원 등","학교밖위기청소년 맞춤형 자립지원 원문: 학교 밖 청소년 검정고시, 기술훈련 지원 등",정제문 원문 라벨 추가 | 극단적 길이비,2.0,True,True,,
2023,제주,8674,서부권역 노인복지관 추가 설치,,서부권역 노인복지관 추가 설치,결측 원문 변경,,True,True,,
2023,제주,8680,경로당 운영 지원,"운영비, 냉ㆍ난방비, 케이블 tv시청료","운영비, 냉·난방비, 케이블 TV 시청료",고유명사 불일치,1.0,True,True,,
