연도,지역,원본행,세부사업명,주요내용,복구전_주요내용_정제,복구후_주요내용_정제,검토결과,판단근거,기존_분류텍스트,복구후_분류텍스트,TFIDF_영향
2023,충북,5410,귀농.귀촌인 지원사업,,귀농.귀촌인 지원사업,,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,귀농.귀촌인 지원사업 귀농.귀촌인 지원사업,귀농.귀촌인 지원사업,예측 입력 변경·후속 재예측 필요
2023,충북,5411,"맞춤형 주거지원, 행복주택",,"맞춤형 주거지원, 행복주택",,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,"맞춤형 주거지원, 행복주택 맞춤형 주거지원, 행복주택","맞춤형 주거지원, 행복주택",예측 입력 변경·후속 재예측 필요
2023,충북,5412,인구유입 지원사업,,인구유입 지원사업,,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,인구유입 지원사업 인구유입 지원사업,인구유입 지원사업,예측 입력 변경·후속 재예측 필요
2023,충북,5413,신규 거주자 정착지원사업,,신규 거주자 정착지원사업,,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,신규 거주자 정착지원사업 신규 거주자 정착지원사업,신규 거주자 정착지원사업,예측 입력 변경·후속 재예측 필요
2023,충북,5414,찾아가는 인구 순회교육,,찾아가는 인구 순회교육,,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,찾아가는 인구 순회교육 찾아가는 인구 순회교육,찾아가는 인구 순회교육,예측 입력 변경·후속 재예측 필요
2023,충북,5415,온-누림 플랫폼 건립사업,,"세부사업명(참고용): 온-누림 플랫폼 건립사업
원문: 
",,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,온-누림 플랫폼 건립사업 세부사업명(참고용): 온-누림 플랫폼 건립사업 원문:,온-누림 플랫폼 건립사업,예측 입력 변경·후속 재예측 필요
2023,충북,5416,농업경영 융.복합지원센터 건립사업,,농업경영 융.복합지원센터 건립사업,,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,농업경영 융.복합지원센터 건립사업 농업경영 융.복합지원센터 건립사업,농업경영 융.복합지원센터 건립사업,예측 입력 변경·후속 재예측 필요
2023,충북,5417,청년 귀농인 정착지원,,청년귀농인 정착지원,,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,청년 귀농인 정착지원 청년귀농인 정착지원,청년 귀농인 정착지원,예측 입력 변경·후속 재예측 필요
2023,충북,5426,전입장려금,,전입장려금,,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,전입장려금 전입장려금,전입장려금,예측 입력 변경·후속 재예측 필요
2023,충남,5691,캠퍼스 타운 조성,,캠퍼스 타운 조성,,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,캠퍼스 타운 조성 캠퍼스 타운 조성,캠퍼스 타운 조성,예측 입력 변경·후속 재예측 필요
2023,전남,6683,공공산후조리원 지원사업,,공공산후조리원 지원사업,,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,공공산후조리원 지원사업 공공산후조리원 지원사업,공공산후조리원 지원사업,예측 입력 변경·후속 재예측 필요
2023,전남,6684,산모신생아 건강관리지원사업,,산모신생아 건강관리지원사업,,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,산모신생아 건강관리지원사업 산모신생아 건강관리지원사업,산모신생아 건강관리지원사업,예측 입력 변경·후속 재예측 필요
2023,전남,6685,산모신생아 건강관리 본인부담금 추가지원,,산모신생아 건강관리 본인부담금 추가지원,,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,산모신생아 건강관리 본인부담금 추가지원 산모신생아 건강관리 본인부담금 추가지원,산모신생아 건강관리 본인부담금 추가지원,예측 입력 변경·후속 재예측 필요
2023,전남,6686,출산가정 방문 산후조리 서비스 확대지원,,출산가정 방문 산후조리 서비스 확대지원,,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,출산가정 방문 산후조리 서비스 확대지원 출산가정 방문 산후조리 서비스 확대지원,출산가정 방문 산후조리 서비스 확대지원,예측 입력 변경·후속 재예측 필요
2023,전남,6687,저소득층 기저귀 조제분유 지원,,저소득층 기저귀 조제분유 지원,,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,저소득층 기저귀 조제분유 지원 저소득층 기저귀 조제분유 지원,저소득층 기저귀 조제분유 지원,예측 입력 변경·후속 재예측 필요
2023,전남,6688,신생아 양육비 지원,,신생아 양육비 지원,,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,신생아 양육비 지원 신생아 양육비 지원,신생아 양육비 지원,예측 입력 변경·후속 재예측 필요
2023,전남,6689,첫만남이용권 지원사업,,첫만남이용권 지원사업,,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,첫만남이용권 지원사업 첫만남이용권 지원사업,첫만남이용권 지원사업,예측 입력 변경·후속 재예측 필요
2023,전남,6690,다둥이가정 육아용품 구입비 지원사업,,다둥이가정 육아용품 구입비 지원사업,,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,다둥이가정 육아용품 구입비 지원사업 다둥이가정 육아용품 구입비 지원사업,다둥이가정 육아용품 구입비 지원사업,예측 입력 변경·후속 재예측 필요
2023,전남,6693,한방난임치료 지원사업,,한방난임치료 지원사업,,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,한방난임치료 지원사업 한방난임치료 지원사업,한방난임치료 지원사업,예측 입력 변경·후속 재예측 필요
2023,전남,6697,모자보건사업(보조),,"세부사업명(참고용): 모자보건사업(보조)
원문:
",,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,모자보건사업(보조) 세부사업명(참고용): 모자보건사업(보조) 원문:,모자보건사업(보조),예측 입력 변경·후속 재예측 필요
2023,전남,7240,청년희망 아카데미,,청년희망 아카데미,,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,청년희망 아카데미 청년희망 아카데미,청년희망 아카데미,예측 입력 변경·후속 재예측 필요
2023,제주,8674,서부권역 노인복지관 추가 설치,,서부권역 노인복지관 추가 설치,,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,서부권역 노인복지관 추가 설치 서부권역 노인복지관 추가 설치,서부권역 노인복지관 추가 설치,예측 입력 변경·후속 재예측 필요
