연도,지역,원본행,세부사업명,주요내용,주요내용_정제,자동검출사유,사람검토결과,조치내용,TFIDF_영향
2018,경기,4939.0,치매관리사업,"치매조기검진 : 7,009명 치매등록관리 : 1,441명 치매주간보호 : 57명 치매예방교육 : 134회/3,151명 치매인지재활 : 112회/377먕 유관기관 간담회 : 20회/437명","치매조기검진 : 7,009명 치매등록관리 : 1,441명 치매주간보호 : 57명 치매예방교육 : 134회/3,151명 치매인지재활 : 112회/377명 유관기관 간담회 : 20회/437명",금액·퍼센트·범위 불일치,의미보존 확인,"수량 단위 오탈자 `먕`을 `명`으로 교정",예측 입력 유지
2018,충북,5670.0,저소득층 자유수강권 지원 확대,"초·중·고등학교(국립제외)에 재학 중인 저소득층의 자녀가 방과후학교를 자유 롭게 수강할 수있도록 연간 60만원의 범위내에서 수강권(강사료, 교재비, 재 료비, 수용비, 체험학습비) 지원","초 중 고등학교(국립제외)에 재학 중인 저소득층의 자녀가 방과후학교를 자유롭게 수강할 수 있도록 연간 60만원의 범위에서 수강권(강사료, 교재비, 재료비, 수용비, 체험학습비) 지원",고유명사 불일치,의미보존 확인,"단어 내부 공백·조사 표현·나열 기호 정규화",예측 입력 유지
2018,전북,7027.0,산모.신생아 건강관리사 지원사업,"""신생아 출생일 기준 1년전부터 양 부모 모두 완주군에 주민등록을 두 고 거주하는 가정 - 소득금액 50%이하 산모：본인부 담금 포함 1주 지원 - 소득금액50%이상 산모：1주/35 만원 지원(본인부담금발생)""",신생아 출생일 기준 1년전부터 양 부모 모두 완주군에 주민등록을 두고 거주하는 가정 - 소득금액 50%이하 산모：본인부담금 포함 1주 지원 - 소득금액50%이상 산모：1주/35만원 지원(본인부담금발생),고유명사 불일치,의미보존 확인,"불필요한 인용부호와 단어·금액 단위 내부 공백 제거",예측 입력 유지
2018,전북,7042.0,출산장려금 지원사업,"""신생아출생일기준1년전부터 양부모 모두 완주군에 주민등록을 두고 거 주하는 가정 - 첫째아 500,000원 - 둘째아 1,000,000원, - 셋째아이상 6,000,000원 지급""","신생아출생일기준1년전부터 양부모 모두 완주군에 주민등록을 두고 거주하는 가정 - 첫째아 500,000원 - 둘째아 1,000,000원, - 셋째아이상 6,000,000원 지급",고유명사 불일치,의미보존 확인,"불필요한 인용부호와 단어 내부 공백 제거",예측 입력 유지
2018,전북,7071.0,다둥이 가족 행복 축제,"목적：다자녀 가정 격려 및 출산분 위기 조성 시기：2018 .10월중 예산 :15백만원 내용：모범가정 시상, 가족공연, 어울림한마당 등","목적：다자녀 가정 격려 및 출산분 위기 조성 시기：2018.10월중 예산：15백만원 내용：모범가정 시상, 가족공연, 어울림한마당 등",금액·퍼센트·범위 불일치,의미보존 확인,"연월 표기와 콜론 공백 정규화",예측 입력 유지
2018,전남,7882.0,노인 장수수당,관내에 주민등록을 1년 이상 두고 거 주중 1930년 12. 31. 이전 출생 노인 월30천원 장수수당 지급,관내에 주민등록을 1년 이상 두고 거주 중인 1930년 12월 31일 이전 출생 노인 월 30천원 장수수당 지급,금액·퍼센트·범위 불일치,의미보존 확인,"단어 내부 공백과 날짜·금액 표기 정규화",예측 입력 유지
2018,경북,8483.0,"청소년 대학·진로 탐방, 해외연수","청소년 대학·진로 탐방, 해외연수","청소년 대학 진로 탐방, 해외연수",고유명사 불일치,의미보존 확인,"나열 구분 기호 제거",예측 입력 유지
2018,경북,8679.0,저출산극복 대학교양과목 개설지원,「 행복한 삶과 가족」대학교 교양과목 개설 지원,「행복한 삶과 가족」대학교 교양과목 개설 지원,고유명사 불일치,의미보존 확인,"여는 괄호 뒤 불필요한 공백 제거",예측 입력 유지
2018,경남,8921.0,청소년 동아리 어울림 마당,"지원대상 : 대표 어울림 개소당 70백 만원, 시군 어울림：개소당 24백만원 사업내용 : 지역적 특성과 연계한 청 소년 선호 프로그램 운영","지원대상 : 대표 어울림 개소당 70백만원, 시군 어울림 개소당 24백만원 사업내용 : 지역적 특성과 연계한 청소년 선호 프로그램 운영",금액·퍼센트·범위 불일치,의미보존 확인,"금액 단위와 단어 내부 공백 및 콜론 정규화",예측 입력 유지
2018,경남,8941.0,권역별 미혼모부자지원기관 지원,"지원대상 : 도내 1개소(창원, 경상남 도한부모가족지원센터) 사업내용 : 한부모 가정 지원센터 등 운영비 지원","지원대상 : 도내 1개소(창원, 경상남도 한부모가족지원센터) 사업내용 : 한부모 가정 지원센터 등 운영비 지원",고유명사 불일치,의미보존 확인,"고유명사 내부 공백 위치 정리",예측 입력 유지
2018,제주,9236.0,적성능력 중심으로 전환을 위한 교육고용 체계 개편(자유학기제),"자유학기제 교원 역량강화 연수 자유학기제 학부모 연수 자유학기제 컨설팅지원단 구성""E운영 자유학기제 학생 프로그램 운영비 지원 지역별 자유학기제""E진로교육지원센터 위탁 운영(2개소) 도청 연계 자유학기제 도외 진로체험 프로그램 운영",자유학기제 교원 역량강화 연수 자유학기제 학부모 연수 자유학기제 컨설팅지원단 구성 운영 자유학기제 학생 프로그램 운영비 지원 지역별 자유학기제 진로교육지원센터 위탁 운영(2개소) 도청 연계 자유학기제 도외 진로체험 프로그램 운영,고유명사 불일치,의미보존 확인,"OCR성 `E` 구분 문자 제거",예측 입력 유지
2018,제주,9262.0,경로당 운영지원,"운영비, 냉ㆍ난방비, 케이블 tv시청료","운영비, 냉·난방비, 케이블 TV 시청료",고유명사 불일치,의미보존 확인,"구분 기호·영문 대소문자·공백 정규화",예측 입력 유지
