지역,대분류,중분류,원본_소계값,원본_소계출처,leaf_합계,차이,절대차이,오차율(%),절대오차율(%),QA_병합상태,결과,허용기준결과,판정불가_사유
세종,Ⅰ. 공통사업,2. 함께 만들어가는 행복한 노후(공통사업),30794.0,별도소계행,30793,-1.0,1.0,-0.0,0.0,양쪽존재,불일치,허용,
세종,Ⅰ. 공통사업,3. 인구변화 적극대비(공통사업),39.0,별도소계행,39,0.0,0.0,0.0,0.0,양쪽존재,일치,허용,
세종,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),27611.0,별도소계행,27611,0.0,0.0,0.0,0.0,양쪽존재,일치,허용,
세종,Ⅱ. 자체사업,2. 함께 만들어가는 행복한 노후(자체사업),2856.0,별도소계행,2856,0.0,0.0,0.0,0.0,양쪽존재,일치,허용,
세종,Ⅱ. 자체사업,3. 인구변화 적극대비(자체사업),10.0,별도소계행,10,0.0,0.0,0.0,0.0,양쪽존재,일치,허용,
울산,Ⅰ. 공통사업,1. 함께 돌보고 함께 일하는 사회(공통사업),251834.0,별도소계행,251834,0.0,0.0,0.0,0.0,양쪽존재,일치,허용,
울산,Ⅰ. 공통사업,2. 함께 만들어가는 행복한 노후(공통사업),7844.0,별도소계행,7845,1.0,1.0,0.01,0.01,양쪽존재,불일치,허용,
울산,Ⅰ. 공통사업,3. 인구변화 적극대비(공통사업),,중분류제목행,39,,,,,양쪽존재,판정불가,판정불가,원본 소계값 결측
울산,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),53055.0,별도소계행,53055,0.0,0.0,0.0,0.0,양쪽존재,일치,허용,
울산,Ⅱ. 자체사업,2. 함께 만들어가는 행복한 노후(자체사업),43675.0,별도소계행,43675,0.0,0.0,0.0,0.0,양쪽존재,일치,허용,
울산,Ⅱ. 자체사업,3. 인구변화 적극대비(자체사업),304.0,별도소계행,304,0.0,0.0,0.0,0.0,양쪽존재,일치,허용,
인천,Ⅰ. 공통사업,1. 함께 돌보고 함께 일하는 사회(공통사업),998427.0,별도소계행,998427,0.0,0.0,0.0,0.0,양쪽존재,일치,허용,
인천,Ⅰ. 공통사업,2. 함께 만들어가는 행복한 노후(공통사업),872092.0,별도소계행,872092,0.0,0.0,0.0,0.0,양쪽존재,일치,허용,
인천,Ⅰ. 공통사업,3. 인구변화 적극대비(공통사업),,중분류제목행,39,,,,,양쪽존재,판정불가,판정불가,원본 소계값 결측
인천,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),239942.0,별도소계행,239943,1.0,1.0,0.0,0.0,양쪽존재,불일치,허용,
인천,Ⅱ. 자체사업,2. 함께 만들어가는 행복한 노후(자체사업),26591.0,별도소계행,26591,0.0,0.0,0.0,0.0,양쪽존재,일치,허용,
인천,Ⅱ. 자체사업,3. 인구변화 적극대비(자체사업),219.0,별도소계행,219,0.0,0.0,0.0,0.0,양쪽존재,일치,허용,
전남,Ⅰ. 공통사업,1. 함께 돌보고 함께 일하는 사회(공통사업),109897.0,별도소계행,109897,0.0,0.0,0.0,0.0,양쪽존재,일치,허용,
전남,Ⅰ. 공통사업,2. 함께 만들어가는 행복한 노후(공통사업),1163547.0,별도소계행,1163547,0.0,0.0,0.0,0.0,양쪽존재,일치,허용,
전남,Ⅰ. 공통사업,3. 인구변화 적극대비(공통사업),,중분류제목행,39,,,,,양쪽존재,판정불가,판정불가,원본 소계값 결측
전남,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),102107.0,별도소계행,102107,0.0,0.0,0.0,0.0,양쪽존재,일치,허용,
전남,Ⅱ. 자체사업,2. 함께 만들어가는 행복한 노후(자체사업),163258.0,별도소계행,163257,-1.0,1.0,-0.0,0.0,양쪽존재,불일치,허용,
전남,Ⅱ. 자체사업,3. 인구변화 적극대비(자체사업),1483.0,별도소계행,1484,1.0,1.0,0.07,0.07,양쪽존재,불일치,허용,
전북,Ⅰ. 공통사업,1. 함께 돌보고 함께 일하는 사회(공통사업),632823.0,별도소계행,632823,0.0,0.0,0.0,0.0,양쪽존재,일치,허용,
전북,Ⅰ. 공통사업,2. 함께 만들어가는 행복한 노후(공통사업),980825.0,별도소계행,980825,0.0,0.0,0.0,0.0,양쪽존재,일치,허용,
전북,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),140448.0,별도소계행,140450,2.0,2.0,0.0,0.0,양쪽존재,불일치,허용,
전북,Ⅱ. 자체사업,2. 함께 만들어가는 행복한 노후(자체사업),154404.0,별도소계행,154404,0.0,0.0,0.0,0.0,양쪽존재,일치,허용,
전북,Ⅱ. 자체사업,3. 인구변화 적극대비(자체사업),296.0,별도소계행,296,0.0,0.0,0.0,0.0,양쪽존재,일치,허용,
제주,Ⅰ. 공통사업,1. 함께 돌보고 함께 일하는 사회(공통사업),261002.0,별도소계행,261003,1.0,1.0,0.0,0.0,양쪽존재,불일치,허용,
제주,Ⅰ. 공통사업,2. 함께 만들어가는 행복한 노후(공통사업),203815.0,별도소계행,203815,0.0,0.0,0.0,0.0,양쪽존재,일치,허용,
제주,Ⅰ. 공통사업,3. 인구변화 적극대비(공통사업),146.0,별도소계행,146,0.0,0.0,0.0,0.0,양쪽존재,일치,허용,
제주,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),152787.0,별도소계행,152787,0.0,0.0,0.0,0.0,양쪽존재,일치,허용,
제주,Ⅱ. 자체사업,2. 함께 만들어가는 행복한 노후(자체사업),70767.0,별도소계행,70767,0.0,0.0,0.0,0.0,양쪽존재,일치,허용,
제주,Ⅱ. 자체사업,3. 인구변화 적극대비(자체사업),567.0,별도소계행,567,0.0,0.0,0.0,0.0,양쪽존재,일치,허용,
충남,Ⅰ. 공통사업,1. 함께 돌보고 함께 일하는 사회(공통사업),590701.0,별도소계행,590701,0.0,0.0,0.0,0.0,양쪽존재,일치,허용,
충남,Ⅰ. 공통사업,2. 함께 만들어가는 행복한 노후(공통사업),893862.0,별도소계행,893862,0.0,0.0,0.0,0.0,양쪽존재,일치,허용,
충남,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),269484.0,별도소계행,269486,2.0,2.0,0.0,0.0,양쪽존재,불일치,허용,
충남,Ⅱ. 자체사업,2. 함께 만들어가는 행복한 노후(자체사업),54309.0,별도소계행,54309,0.0,0.0,0.0,0.0,양쪽존재,일치,허용,
충남,Ⅱ. 자체사업,3. 인구변화 적극대비(자체사업),877.0,별도소계행,878,1.0,1.0,0.11,0.11,양쪽존재,불일치,허용,
충북,Ⅰ. 공통사업,1. 함께 돌보고 함께 일하는 사회(공통사업),477644.0,별도소계행,477644,0.0,0.0,0.0,0.0,양쪽존재,일치,허용,
충북,Ⅰ. 공통사업,2. 함께 만들어가는 행복한 노후(공통사업),565324.0,별도소계행,565324,0.0,0.0,0.0,0.0,양쪽존재,일치,허용,
충북,Ⅰ. 공통사업,3. 인구변화 적극대비(공통사업),,중분류제목행,39,,,,,양쪽존재,판정불가,판정불가,원본 소계값 결측
충북,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),140192.0,별도소계행,140195,3.0,3.0,0.0,0.0,양쪽존재,불일치,허용,
충북,Ⅱ. 자체사업,2. 함께 만들어가는 행복한 노후(자체사업),31314.0,별도소계행,31315,1.0,1.0,0.0,0.0,양쪽존재,불일치,허용,
충북,Ⅱ. 자체사업,3. 인구변화 적극대비(자체사업),1824.0,별도소계행,1826,2.0,2.0,0.11,0.11,양쪽존재,불일치,허용,
