지역,원본행,세부사업명,주요내용,주요내용_정제
강원,3649.0,출생아건강보험 가입지원,"출생아 건강보험 지원 : 4,458 명",출산장려 산후조리비 및 임산부 지원 • 신혼부부 산전검사 지원 등
강원,3650.0,아동양육시설운영 지원,"아동양육시설 : 2개소(애민보육원, 꿈터)","출산장려금 2,602명 지원"
강원,3651.0,청소년 방과 후 활동 내실화,청소년 공부방 운영 : 2개소,신혼부부 건강검진 및 풍진 접종 378명 지원
강원,3655.0,공공 청소년 수련시설 운영 지원,공공 청소년 시설 운영 : 3개소,"임산부 철분제, 엽산제 870명 지원"
강원,3656.0,다문화가정 건강관리사업,출산육아용품 지급 등,"민법상 미성년 가구가 3인 이상인 가구-가정용(월 6,390원 한도)-2015.11월 시행"
강원,3657.0,출산장려 지원사업,출산장려 산후조리비 및 임산부 지원 • 신혼부부 산전검사 지원 등,"국내입양 활성화를 위하여 국내 입양 가정에 입양 축하금 지급(1인 2,000천원)"
강원,3658.0,출산장려금 지원,"출산장려금 2,602명 지원","5월 5일 어린이날 기념행사 및 어린이날 큰잔치 행사 지원 : 약5,000명"
강원,3659.0,건강한 신혼가꾸기,신혼부부 건강검진 및 풍진 접종 378명 지원,5자녀 이상 가구 세대 천사후원금 지급
강원,3660.0,"임산부 철분제, 엽산제 지원","임산부 철분제, 엽산제 870명 지원","건강보험료 689명, 건강관리비 22명 지원"
강원,3661.0,다자녀가구 수도요금 감면,"민법상 미성년 가구가 3인 이상인 가구-가정용(월 6,390원 한도)-2015.11월 시행","장기근속수당 437명 복리후생비 1,150명 지원"
강원,3662.0,입양가정 입양축하금 지원,"국내입양 활성화를 위하여 국내 입양 가정에 입양 축하금 지급(1인 2,000천원)",휴일어린이집 운영비 및 인건비 지원(3개소)
강원,3663.0,어린이날 큰 잔치,"5월 5일 어린이날 기념행사 및 어린이날 큰잔치 행사 지원 : 약5,000명",실외놀이터 시설 부분 개보수 및 확충
강원,3664.0,다자녀가정 천사후원금 지원,5자녀 이상 가구 세대 천사후원금 지급,"휴일보육어린이집 지정 3개소지원 : 사임당, 영광, 옥천어린이집 • 보육교사 및 취사부 휴일 특별근무수당 : 50천원/일 • 휴일보육어린이집 운영비 : 200천원/월"
강원,3665.0,셋째이상 건강보험료 및 건강관리비 지원,"건강보험료 689명, 건강관리비 22명 지원",평가인증어린이집 162개소 지원 • 어린이집냉･난방비 보조 - 39인 이하 : 400천원/ 연 1회 - 40인 이상 : 500천원/ 연 1회
강원,3666.0,보육인력 전문성 제고 및 서비스 향상 지원,"장기근속수당 437명 복리후생비 1,150명 지원","가족문화프로그램운영 -가족기능강화, 교육 및 체험, 특별기획 프로그램 등"
강원,3667.0,휴일어린이집 운영비 및 인건비 지원,휴일어린이집 운영비 및 인건비 지원(3개소),여성결혼이민자 취업기술교육지원 : 23명 (5백만원) • 모국방문지원 : 7가정 20명(19백만원) • 여성결혼 이민자 건강검진: 22명 (5백만원) • 결혼이민자 요리교실 : 25명(5백만원) •해찬솔하모니합창단 지원 : 40명 (8백만원) • 다문화가족 한마당 페스티벌 : 1회 (10백만원) • 다문화자녀 어린이문화체험 학교 : 25명 (3백만원) • 다문화체험교육 운영 : 52회(5백만원) •다문화통역자원봉사자 양성 : 30명 (10백만원) • 다문화가족 한마음체육대회 : 300여명(2백만원)
강원,3668.0,어린이 놀이터 개보수 및 확충,실외놀이터 시설 부분 개보수 및 확충,"출산장려금 지원 : 1,450명 344백만원 • 정(난)관복원시술비 지원 : 1명 1백만원 • 임산부영양제 지원 : 3,200명 32백만원 • 난임부부 영양제 지원 : 220명 2백만원 • 출산용품지원 : 1,000명 61백만원 • 출산준비교실 : 700명 4백만원"
강원,3669.0,휴일어린이집 운영,"휴일보육어린이집 지정 3개소지원 : 사임당, 영광, 옥천어린이집 • 보육교사 및 취사부 휴일 특별근무수당 : 50천원/일 • 휴일보육어린이집 운영비 : 200천원/월",취약계층아동(지역아동센터)에 대한 과일 등 보충식품 지원 및 영양교육 실시 - 아동센터 20개소
강원,3670.0,평가인증어린이집 지원(냉･난방비),평가인증어린이집 162개소 지원 • 어린이집냉･난방비 보조 - 39인 이하 : 400천원/ 연 1회 - 40인 이상 : 500천원/ 연 1회,"출산장려금지원 : 335명 - 둘째아 이상 출생아로, 1년 이상 관내거주하는 영아의 부 또는 모 - 둘째아(60만원/매월10만원x6개월), 셋째아 이상(120만원/매월10만원x12개월)"
강원,3671.0,가족문화 프로그램 운영,"가족문화프로그램운영 -가족기능강화, 교육 및 체험, 특별기획 프로그램 등",임산부 및 영유아관리사업(임신부등록관리 사업) : 800명 - 관내 임신부 등록자 산전쿠폰지원(기형아･초음파･임신성당뇨･분만전검사) - 엽산제･철분제 지원(쌍태아 2배 지원) - 임신부 및 아기용품 지원
강원,3675.0,다문화가정 지원,여성결혼이민자 취업기술교육지원 : 23명 (5백만원) • 모국방문지원 : 7가정 20명(19백만원) • 여성결혼 이민자 건강검진: 22명 (5백만원) • 결혼이민자 요리교실 : 25명(5백만원) •해찬솔하모니합창단 지원 : 40명 (8백만원) • 다문화가족 한마당 페스티벌 : 1회 (10백만원) • 다문화자녀 어린이문화체험 학교 : 25명 (3백만원) • 다문화체험교육 운영 : 52회(5백만원) •다문화통역자원봉사자 양성 : 30명 (10백만원) • 다문화가족 한마음체육대회 : 300여명(2백만원),출산양육비 - 첫째아 10만원*1회 - 둘째아 100만원*1회 - 셋째이상 20만원*12회 • 출산육아용품쿠폰 - 셋째이상 30만원*1회
강원,3676.0,출산장려 지원사업,"출산장려금 지원 : 1,450명 344백만원 • 정(난)관복원시술비 지원 : 1명 1백만원 • 임산부영양제 지원 : 3,200명32백만원 • 난임부부 영양제 지원 : 220명 2백만원 • 출산용품지원 : 1,000명 61백만원 • 출산준비교실 : 700명 4백만원",셋째아 이상 방과후 수업료 및 학교 급식비 (고등학생) 지원
강원,3677.0,취약계층아동 과일지원사업,취약계층아동(지역아동센터)에 대한 과일 등 보충식품 지원 및 영양교육 실시 - 아동센터 20개소,건강검진비 : 10만원(모든 임산부) • 출산준비금 : 10만원(모든 신생아) • 산후조리비 : 10만원(둘째이상 출산 임산부)
강원,3678.0,출산장려금 지원,"출산장려금지원 : 335명 - 둘째아 이상 출생아로, 1년 이상 관내거주하는 영아의 부 또는 모 - 둘째아(60만원/매월10만원x6개월), 셋째아 이상(120만원/매월10만원x 12개월)",속초시와 속초시한의사협회 협약으로 셋째아 이상 출산여성 산후조리 한약 50% 할인
강원,3679.0,임산부 및 영유아 관리사업,임산부 및 영유아관리사업(임신부등록관리 사업) : 800명 - 관내 임신부 등록자 산전쿠폰지원 (기형아･초음파･임신성당뇨･분만전검사) - 엽산제･철분제 지원(쌍태아 2배 지원) -임신부 및 아기용품 지원,출산휴가 보육교직원 대체교사 인건비 지급
강원,3680.0,출산양육비 지원,출산양육비 - 첫째아 10만원*1회 - 둘째아 100만원*1회 - 셋째이상 20만원*12회 • 출산육아용품쿠폰 - 셋째이상 30만원*1회,동일시설 1년이상 계속근무자 근속수당 지원(3년이상 5만원/1~3년 3만원)
강원,3684.0,셋째이상 자녀 교육비,셋째아 이상 방과후 수업료 및 학교 급식비 (고등학생) 지원,정부 미지원 시설어린이집 지원(1개소당 500만원)
강원,3685.0,출산 장려 지원 사업,건강검진비 : 10만원(모든 임산부) • 출산준비금 : 10만원(모든 신생아) • 산후조리비 : 10만원(둘째이상 출산 임산부),"읍면동지역 어린이집차량 운영비 지원(시설당 연 1,800~3,000천원)"
강원,3686.0,셋째아 이상 출산여성 산후조리 한약 할인 지원 사업,속초시와 속초시한의사협회 협약으로 셋째아 이상 출산여성 산후조리 한약 50% 할인,출산장려금지원 •둘째아 이상 출생아 건강보장보험료 지원 • 임산부 및 신혼가정 검진비 지원 • 임산부영양제지원 • 셋째아 이상 가족 인플루엔자예방접종 지원 • 임산부 및 신혼가정 풍진항원항체검사 • 임신 및 신혼가정 축하선물 지급
강원,3687.0,출산휴가 대체인건비,출산휴가 보육교직원 대체교사 인건비 지급,"우리시로 전입하여 신생아를 출산하고 전입일로부터 1년이 경과한 신생아의 부･모에게 지급 - 첫째(30,000원), 둘째(50,000원), 셋째(70,000원), 넷째이상(100,000원) - 신청 후 1년간 총12회 지급"
강원,3688.0,민간보육시설 보육교사 근속수당,동일시설 1년이상 계속근무자 근속수당 지원(3년이상 5만원/1~3년 3만원),출산장려금지원 • 출생아 건강보장보험료 지원 등
강원,3689.0,민간보육시설 환경개선비 지원,정부 미지원 시설어린이집 지원(1개소당 500만원),둘째이상 출생아에 대한 안전보험 가입지원
강원,3690.0,어린이집 차량운영 보조지원,"읍면동지역 어린이집차량 운영비 지원(시설당 연 1,800~3,000천원)",둘째이상 출생아에 대하여 출산장려금 지원(다문화가정 첫째아부터 지원)
강원,3692.0,전입세대 출생아 지원,"우리시로 전입하여 신생아를 출산하고 전입일로부터 1년이 경과한 신생아의 부･모에게 지급 - 첫째(30,000원), 둘째(50,000원), 셋째(70,000원), 넷째이상(100,000원) - 신청 후 1년간 총12회 지급","기형아 및 초음파검사 쿠폰지원, 임신전 건강검진 지원, 임산부 및 영유아영양제 지원 등"
강원,3695.0,출산장려금 지원,둘째이상 출생아에 대하여 출산장려금 지원(다문화가정 첫째아부터 지원),"출산 또는 출산예정인 여성농업인의 신청에 의해 농가도우미가 영농을 대신 하고, 농가도우미 임금의 일부(1일 단가 50천원의 80%)지원(2013년 상반기 군비 사업, 하반기는 도비 사업으로 추진)"
강원,3696.0,다자녀가정 고등학교 학교운영비 지원,다자녀가정 자녀의 양육부담 경감을 위하여 셋째이상 자녀의 고교 학교운영비 지원,"출산장려금 지원 - 첫째아 : 200,000원*1회 - 둘째아 : 500,000원*2회 - 셋째아 : 300,000원*36개월"
강원,3701.0,해피맘 해피아이 건강교실 운영,"임신출산 교육프로그램 운영, 전동유축기 대여 지원 등","대상 : 관내 주소를 둔 신혼부부 및 임신 계획 부부 • 제공내역 : 엽산제 4통(부부각 2통), 서1권, 홍보물"
강원,3703.0,여성농업인 농가도우미 지원,"출산 또는 출산예정인 여성농업인의 신청에 의해 농가도우미가 영농을 대신 하고, 농가도우미 임금의 일부(1일 단가 50천원의 80%)지원(2013년 상반기 군비 사업, 하반기는 도비 사업으로 추진)",근속수당지원
강원,3704.0,출산장려금 지원,"출산장려금 지원 - 첫째아 : 200,000원*1회 - 둘째아 : 500,000원*2회 - 셋째아 : 300,000원*36개월",다자녀가정자녀에게 학습비 지원 - 셋째아 : 학원비의 50%(최대 50천원) - 넷째아 이상 : 학원비의 80% (최대 80만원)
강원,3706.0,예비부모 만들기 프로젝트사업,"대상 : 관내 주소를둔 신혼부부 및 임신 계획 부부 • 제공내역 : 엽산제 4통(부부각 2통), 서1권, 홍보물","영월군에 6개월 이상 부,모가 거주하는 신생아 출산 가정에 첫째 30만원, 둘째 50만원, 셋째 100만원, 넷째이상 300만원 지원"
강원,3707.0,아동･청소년의 창의성 제고를위 한 문화예술교육지원,어린이날 기념행사 추진,영월군에 주소를 두고 보건소에 등록한 임산부에게 축하기념품(7만원권 쿠폰) 지급
강원,3708.0,민간보육시설 종사자 장기근속수당 지원,근속수당지원,출생2~7일 이내의 관내 주소를 둔 신생아의 탠덤매스 추가검사비 지원
강원,3709.0,다자녀가정 학습비 지원,다자녀가정자녀에게 학습비 지원 - 셋째아 : 학원비의 50%(최대 50천원) - 넷째아 이상 : 학원비의 80% (최대 80만원),관내 주소를 둔 가임기 여성의 풍진항체검사 및 음성자 예방접종 지원
강원,3710.0,농가도우미지원 사업,출산(출산예정)여성 농업인에게 농가도우미 지원,"출산축하금 지원 : 161명 - 첫째아 1백만원, 둘째아 2백만원, 셋째아 3백만원, 4백만원 - 출생순위에따라 1백만원씩 추가 지급"
강원,3711.0,출산입양장려금,"영월군에 6개월 이상 부,모가 거주하는 신생아 출산 가정에첫째 30만원, 둘째 50만원, 셋째 100만원, 넷째이상 300만원 지원",평창군 관내 출생아의 건강보험료 지원
강원,3715.0,임신 축하기념품 제공,영월군에 주소를 두고 보건소에 등록한 임산부에게 축하기념품(7만원권 쿠폰) 지급,"근속(만2년이상) 교직원에게 근속수당 지급 - 2년이상~3년미만 30천원, 3년이상~5년미만 50천원, 5년이상 70천원"
강원,3716.0,선천성 대사이상 추가검사비 지원,출생2~7일 이내의 관내 주소를 둔 신생아의 탠덤매스 추가검사비 지원,"정선군 출생 둘째, 셋째아 양육비 지원"
강원,3718.0,출산축하금 지원,"출산축하금 지원 : 161명 - 첫째아 1백만원, 둘째아 2백만원, 셋째아 3백만원, 4백만원 - 출생순위에따라 1백만원씩 추가 지급",관내 1년 이상 거주하고 있고 둘째 이상 출생한 자에 대하여 장려금 지급
강원,3719.0,출생아 건강보험료 지원,평창군 관내 출생아의 건강보험료 지원,임산16~20주사이 임산부에게 기형아 검사비 지급
강원,3720.0,보육시설종사자 근속수당 지원,"근속(만2년이상) 교직원에게 근속수당 지급 - 2년이상~3년미만 30천원, 3년이상~ 5년미만 50천원, 5년이상 70천원",보건소등록 임산부에게 임신축하 물품 지원
강원,3722.0,임신출산 지원,출산육아용품 및 산전검사비 지원,셋째아 이상 아동에게 3년간 매년 50만원씩 지급
강원,3723.0,출산장려금 지급,관내1년 이상 거주하고 있고 둘째이상 출생한자에 대하여 장려금 지급,출산환경 조성 및 모자건강증진을 위한 지원
강원,3724.0,기형아 검사료 지급,임산16~20주사이 임산부에게 기형아 검사비 지급,건강한 자녀출산 및 여성과 어린이 건강증진 도모
강원,3727.0,출산장려금지원,셋째아 이상 아동에게 3년간 매년 50만원씩 지급,"출산장려금, 만6세 아동진료비 지원 사업 • 인플루엔자, 진료비, 영양제지원 • 출산 축하엽서 발송 • 임산부 철분제 지원 사업 • 외국 이민산모의 산전교육을 통한 건강한 출산장려"
강원,3730.0,육아휴직 대체인력 확보,편안한 양육환경조성을 위해 육아휴직자 대체인력 확보,"출산장려금 지원(첫째아 50만원, 둘째아 70만원, 셋째아 100만원, 넷째아 이상 30만원씩 추가) • 신혼부부 예비맘 무료 건강검진"
강원,3731.0,유연근무제 운영,공직사회의 유연근무제 확산,"어린이집 종사자 장기근속 수당 지원 (80명) • 평가인증어린이집 환경 개선비 지원(8개소) • 시간제 보조교사 인건비 지원(10개소) • 차량운행비 지원(18개소, 700명 지원)"
강원,3735.0,출생아건강보험 가입지원,"출산장려금, 만6세 아동진료비 지원 사업 • 인플루엔자, 진료비, 영양제지원 • 출산 축하엽서 발송 • 임산부 철분제 지원 사업 • 외국 이민산모의 산전교육을 통한 건강한 출산장려",첫째아 200천원*10명*12회 • 둘째아 100천원*60명*12회 • 셋째아 100천원*55명*12회
강원,3736.0,출산장려지원사업,출생아 건강보험 지원,출산시 출산용품비 및 축하금지원 : 1회 50만원 • 출산장려금 지원 : 둘째아 1년간 10만원 /셋째아 2년간 10만원/넷째아 3년간 30만원
강원,3737.0,아동발달 프로그램운영,아동발달 프로그램 운영,사회서비스이용권 본인부담금 전액 지원 10명
강원,3738.0,출산장려지원,"출산장려금 지원(첫째아 50만원, 둘째아 70만원, 셋째아 100만원, 넷째아 이상 30만원씩 추가) • 신혼부부 예비맘 무료 건강검진",임산부 엽산제 및 철분제 지원 300명
강원,3739.0,어린이집 운영지원,"어린이집 종사자 장기근속 수당 지원 (80명) • 평가인증어린이집 환경 개선비 지원(8개소) • 시간제 보조교사 인건비 지원(10개소) • 차량운행비 지원(18개소, 700명 지원)",영양플러스사업 다문화가정 본인부담금 지원(240명)
강원,3740.0,출산양육비 지원,첫째아 200천원*10명*12회 • 둘째아 100천원*60명*12회 • 셋째아 100천원*55명*12회,"지원대상 : 1922.12.31이전 출생자 3,400명 • 지원단가 : 월 1인 2만원"
강원,3741.0,출산장려지원사업,"출산용품 구입 50천원*140명 임산부 엽산제, 철분제 지급 - 4,600원*2종*300통 • 미숙아 및 선천성이상아 의료비 지원 - 4,000천원*1명",행사지원 : 노인의 날 기념 등 4개 사업
강원,3742.0,출산장려금 지원,출산시 출산용품비 및 축하금지원 : 1회 50만원 • 출산장려금 지원 : 둘째아 1년간 10만원 /셋째아 2년간 10만원/넷째아 3년간 30만원,"노인일자리 추가 : 6,600자리(공익형, 취업･인턴형, 특화･영농형으로 추진)"
강원,3743.0,산모신생아건강관리 본인부담금 지원,사회서비스이용권 본인부담금 전액 지원 10명,지원대상 : 63개소 지원내용 : 강사비 지원(개소당 5백만원)
강원,3744.0,임산부 영양제 지원,임산부 엽산제 및 철분제 지원 300명,지원대상 : 10개소 지원내용 : 개소당 15백만원
강원,3745.0,영양플러스사업 본인부담금 지원,영양플러스사업 다문화가정 본인부담금 지원(240명),"지원대상 : 3,049개소 지원내용 : 운영비 및 프로그램비 지원"
강원,3748.0,장수수당,"지원대상 : 1922.12.31이전 출생자 3,400명 • 지원단가 : 월 1인 2만원",지원대상 : 26개소 지원내용 : 노후협소경로당 신축 및 개보수
강원,3752.0,경로행사 추진을 통한 경로효친사상 앙양,행사지원 : 노인의 날 기념 등 4개 사업,"지원대상 : 12개소 지원내용 : 냉난방비, 급식비, 운영비 지원"
강원,3753.0,맞춤형 노인일자리 창출 지원,"노인일자리 추가 : 6,600자리(공익형, 취업･인턴형, 특화･영농형으로 추진)","지원대상 : 1,052개소 지원내용 : 프로그램 운영을 위한 강사료 지원"
강원,3754.0,노인대학 프로그램 운영비 지원,지원대상 : 63개소 지원내용 : 강사비 지원(개소당 5백만원),노인의료복지시설 281개소 운영지원
강원,3755.0,실버예술단,지원대상 : 10개소 지원내용 : 개소당 15백만원,의치시술 7년경과하고 의치파손으로 사용이 어려운 저소득층 노인
강원,3756.0,경로당 운영비 지원,"지원대상 : 3,049개소 지원내용 : 운영비 및 프로그램비 지원",치매환자관리용품 지원 • 인지재활프로그램 운영 • 원격치매클리닉 운영 • 치매환자실종 예방사업
강원,3757.0,노후협소 경로당 기능보강 지원,지원대상 : 26개소 지원내용 : 노후협소경로당 신축 및 개보수,강원복지(무임)교통카드 민자도시철도(서울메트로9호선) 손실보전
강원,3758.0,혹한혹서기 공동생활가정 지원,"지원대상 : 12개소 지원내용 : 냉난방비, 급식비, 운영비 지원",저소득노인세대에게 건강보험료 지원 (900명)
강원,3759.0,경로당 프로그램운영비 지원,"지원대상 : 1,052개소 지원내용 : 프로그램 운영을 위한 강사료 지원","결식우려가 있는 노인들에게 급식 제공 (경로식당, 식사배달, 오지마을 반찬 지원)"
강원,3760.0,노인생활시설 운영지원,노인의료복지시설 281개소 운영지원,노인보람일터 가꾸기(50개소) • 노인일자리협의체 운영(1개소)
강원,3761.0,어르신 의치(틀니) 재시술 지원,의치시술 7년경과하고 의치파손으로 사용이 어려운 저소득층 노인,대한노인회춘천시지회 및 읍면동분회 운영 • 노인교실운영(연4회)
강원,3762.0,치매환자 관리지원,치매환자관리용품 지원 • 인지재활프로그램 운영 • 원격치매클리닉 운영 • 치매환자실종 예방사업,으랏차차9988어르신 웃음프로젝트 운영(경로당150개소)
강원,3763.0,강원복지(무임)교통카드 발급,강원복지(무임) 교통카드 민자도시철도 (서울메트로9호선) 손실보전,노인일자리 전담기관 : 1개소
강원,3764.0,저소득노인세대 건강보험료 지원,저소득노인세대에게 건강보험료 지원 (900명),경로당신축 : 3개소 • 경로당보수 및 임차
강원,3766.0,노인일자리 창출,노인보람일터 가꾸기(50개소) • 노인일자리협의체 운영(1개소),치매환자등록관리 및 조기검진 • 치매조기검진을 위한 인력지원
강원,3767.0,노인단체지원,대한노인회춘천시지회 및 읍면동분회 운영 • 노인교실운영(연4회),"65세 이상 어르신보건소 무료진료, 약값 본인부담지원"
강원,3768.0,경로당 활성화 프로그램 지원,으랏차차9988어르신 웃음프로젝트 운영(경로당150개소),독거노인 공동생활 운영(공동취사포함)
강원,3769.0,춘천시니어클럽 운영,노인일자리 전담기관 : 1개소,어르신 체육활동 지원 및 체육대회
강원,3773.0,경로당 기능 보강,경로당신축 : 3개소 • 경로당보수 및 임차,실버대학 운영(12강좌 600명)
강원,3774.0,치매상담센터 운영,중증치매치료관리비 지원 • 치매인지재활프로그램 운영,"경로식당 무료급식 지원(260명, 300일)"
강원,3775.0,치매예방관리사업,치매환자등록관리 및 조기검진 • 치매조기검진을 위한 인력지원,"저소득 재가노인 식사배달(4개소) (265명, 300일)"
강원,3776.0,노인무료진료 약품비 지원사업,"65세 이상 어르신보건소 무료진료, 약값 본인부담지원",노인 건강진단(100명)
강원,3779.0,실버대학 운영,실버대학 운영(12강좌 600명),노인대학 운영 지원 및 노후시설 개선(3개소)
강원,3780.0,경로식당 무료급식 지원사업,"경로식당 무료급식 지원(260명, 300일)",시니어클럽 운영비 지원
강원,3781.0,저소득 재가노인 식사배달사업,"저소득 재가노인 식사배달(4개소) (265명, 300일)",경로당 신바람일거리 사업 주말 거리환경 지킴이 : 10명
강원,3782.0,노인 건강진단,노인 건강진단(100명),노인의날 행사를 통한 경로효친 및 노인 복지 증진
강원,3785.0,노인대학 운영 강화 및 기능보강,노인대학 운영 지원 및 노후시설 개선(3개소),"주기적인 경로당점검 및 보수, 경로당 운영 문제 해소"
강원,3787.0,노인일자리 확대 지원,경로당 신바람일거리 사업 주말 거리환경 지킴이 : 10명,노인일자리 사업의 전문적 추진을 위한 노인일자리 전담기관운영비
강원,3788.0,노인의날 행사-경로위한행사,노인의날 행사를 통한 경로효친 및 노인 복지 증진,"1인 봉양 : 월20,000원(1인추가시 10,000원)"
강원,3789.0,어르신 건강진단,노인건강진단 실시로 질병의 조기발견 및 치료를 통한 건강한 노후생활 지원,"관내 환경취약지역 및 축제･행사장, 환경 정비 등 - 인건비 200백만원 - 산재보험료 7백만원 - 운영비 1백만원"
강원,3790.0,노인무료급식 지원,노인무료 경로식당 및 재가식사 배달운영을 통한 저소득 노인의 기본적인 생계안정 도모,노인일자리 전담기관 1개소 운영 - 시니어클럽 운영비 및 인건비 270백만원 - 자원재활용센터 운영비 5백만원
강원,3791.0,경로당 행복드림반 운영,"주기적인 경로당점검 및 보수, 경로당 운영 문제 해소",지급대상 : 만80세 이상 어르신 봉양자 • 지급인원 : 620명
강원,3797.0,어르신 공경 봉양수당,"1인 봉양 : 월20,000원(1인추가시 10,000원)","노인일자리 사업추진(초등학교 급식도우미, 지역아동센터 연계사업 등)"
강원,3798.0,노인특별 취로사업,"관내 환경취약지역 및 축제･행사장, 환경 정비 등 - 인건비 200백만원 - 산재보험료 7백만원 - 운영비 1백만원","노인대학운영, 노인의날 행사 지원, 노인회 운영"
강원,3799.0,시니어클럽 운영비 지원,노인일자리 전담기관 1개소 운영 - 시니어클럽 운영비 및 인건비 270백만원 - 자원재활용센터 운영비 5백만원,경로당 내 노인적합형 프로그램 교육 지원
강원,3800.0,어르신 봉양수당,지급대상 : 만80세 이상 어르신 봉양자 • 지급인원 : 620명,실종 위험이 있는 치매환자에 대한 서비스 지원
강원,3801.0,효문화 정착을 위한 효행장려여건 마련,어버이날 및 노인의날 행사지원,만80세이상 어르신을 봉양하는 가구대표 1인 매월 20천원 지원 (※ 1인 추가시 10천원 추가)
강원,3803.0,노인일자리 지원,"노인일자리 사업추진(초등학교 급식도우미, 지역아동센터 연계사업 등)",관내 65세이상 어르신 및 가족 효축제
강원,3804.0,노인단체 지원,"노인대학운영, 노인의날 행사 지원, 노인회 운영",65세 이상 결식우려가 있는 노인에게 주 2회 밑반찬(도시락) 지원
강원,3805.0,경로당 순회프로그램 운영,경로당 내 노인적합형 프로그램 교육 지원,"독거노인 돌봐주기(연2회, 생필품 지원)"
